model,provider,score,score_ci_low,score_ci_high,avg_score,date,notes
claude_opus_4_5,Anthropic,320.4,169.8,729.2,0.730,2025-11-24,P50 horizon in minutes
gpt_5,OpenAI,214.0,117.1,479.8,0.694,2025-08-07,P50 horizon in minutes
o3,OpenAI,120.7,74.3,200.8,0.636,2025-04-16,P50 horizon in minutes
claude_4_opus,Anthropic,101.2,58.1,169.8,0.615,2025-05-22,P50 horizon in minutes
claude_3_7_sonnet,Anthropic,59.8,31.8,105.9,0.558,2025-02-24,P50 horizon in minutes
o1,OpenAI,37.9,20.1,63.8,0.511,2024-12-05,P50 horizon in minutes
claude_3_5_sonnet_20241022,Anthropic,19.8,9.7,39.9,0.452,2024-10-22,P50 horizon in minutes
o1_preview,OpenAI,19.4,11.1,32.3,0.451,2024-09-12,P50 horizon in minutes
claude_3_5_sonnet_20240620,Anthropic,10.8,5.0,20.8,0.402,2024-06-20,P50 horizon in minutes
gpt_4o,OpenAI,6.4,3.4,11.7,0.338,2024-05-13,P50 horizon in minutes
gpt_4_1106,OpenAI,3.6,1.6,7.5,0.289,2023-11-06,P50 horizon in minutes
gpt_4,OpenAI,3.5,1.6,6.9,0.293,2023-03-14,P50 horizon in minutes
gpt_4_turbo,OpenAI,3.2,1.6,5.8,0.272,2024-04-09,P50 horizon in minutes
claude_3_opus,Anthropic,3.6,1.5,7.5,0.295,2024-03-04,P50 horizon in minutes
